PREMIER ART V1.1.8b                                                                                                         MARFRA S.A.
Module     : System                                                                                                          16/08/2024
Identifier : BUYATTI OFERTA 516                                                                                             1:34:17 PM
Tested by  : JORGE                                                                                                Cotton Type: SERVICIO
---------------------------------------------------------------------------------------------------------------------------------------
Sub ID             UHML      ML      UI     Str     Elg     Mic     Amt      Rd      +b      CG   T.Cnt  T.Area    Leaf      MR     SFI
63095             28.07   22.73    81.0    30.3     6.8    4.25    1629    65.3     9.2    52-1     132    1.50       4    0.83     9.4
63096             28.34   22.69    80.1    30.9     6.8    4.19    1442    64.8     9.5    53-1     148    1.57       4    0.83    10.4
63097             27.69   22.74    82.2    27.5     6.7    4.44    1254    65.1     9.3    52-1     143    1.46       4    0.83     8.2
63098             28.48   23.28    81.8    30.0     6.8    4.20    1418    65.6     9.2    52-1     151    1.77       4    0.83     8.2
63099             27.86   22.33    80.2    29.4     6.8    4.36    1624    65.5     9.5    52-1     136    1.27       4    0.83    10.5
63100             27.80   22.27    80.1    28.7     6.7    4.21    1402    65.0     9.2    52-1     148    1.39       4    0.82    10.7
63101             27.87   22.48    80.7    28.5     6.8    4.37    1531    64.0     9.2    52-2     125    1.09       4    0.83     9.9
63102             28.39   22.82    80.4    30.4     6.8    4.55    1325    64.1     9.2    52-2     152    1.50       4    0.84    10.0
63103             27.26   21.96    80.6    28.9     6.8    4.32    1166    64.3     9.3    52-1     134    1.26       4    0.83    10.3
63104             27.06   21.69    80.2    28.7     6.7    4.34    1150    65.0     9.3    52-1     178    1.87       4    0.83    10.9
63105             27.96   22.18    79.3    29.7     6.8    4.38    1145    64.6     9.3    52-1     126    1.38       4    0.83    11.6
63106             28.00   22.70    81.1    31.2     6.8    4.19    1615    65.6     9.4    52-1     169    1.88       4    0.83     9.3
63107             27.53   22.67    82.3    29.5     6.8    4.39    1136    66.0     9.4    52-1     142    1.61       4    0.83     8.1
63108             27.21   21.64    79.6    29.2     6.8    4.69    1241    67.6     9.3    42-2     137    1.66       3    0.84    11.6
63109             27.71   22.71    82.0    32.1     6.9    4.68     700    66.1     9.0    52-1     164    1.97       4    0.85     8.4
63110             28.20   23.28    82.6    31.9     6.9    4.42     908    66.2     9.0    52-1     142    1.52       4    0.84     7.4
63111             28.60   23.72    82.9    31.5     6.9    4.94    1066    66.4     9.0    52-1     150    1.78       4    0.85     6.8
63112             27.63   22.64    81.9    28.0     6.8    4.66     870    65.9     8.5    52-1     114    1.13       4    0.83     8.6
63113             28.22   23.02    81.6    30.2     6.9    4.62    1070    65.6     8.4    52-2     128    1.68       4    0.84     8.6
63114             27.91   22.71    81.4    32.3     6.9    4.69    1352    66.4     9.5    52-1     120    1.38       4    0.85     9.0
63115             27.70   22.81    82.3    28.1     6.8    4.82     801    67.4     9.6    42-2     117    1.28       3    0.84     8.0
63116             27.28   21.88    80.2    29.2     6.8    4.73    1087    67.1     9.2    52-1     135    1.39       4    0.84    10.8
63117             28.34   23.27    82.1    29.0     6.9    4.89    1245    67.4     9.5    42-2     158    1.45       3    0.84     7.9
63118             28.10   23.44    83.4    28.4     6.8    4.85    1576    66.7     9.4    52-1     144    1.42       4    0.84     6.5
63119             28.55   23.20    81.3    32.9     6.9    4.65    1515    68.1     9.6    42-2     160    1.61       3    0.85     8.8
63120             28.76   23.68    82.3    30.3     6.8    4.77    1500    65.9     9.4    52-1     122    1.40       4    0.84     7.5
63121             26.83   22.11    82.4    32.1     6.9    4.04    1182    72.9     7.2    41-2     108    1.17       3    0.84     8.3
63122             27.83   22.98    82.6    32.9     6.9    3.94    1051    72.9     7.6    41-2      97    1.15       3    0.83     7.6
63123             27.04   22.43    82.9    30.0     6.7    3.99     538    72.7     7.2    41-2     124    1.68       3    0.82     7.6
63124             27.97   22.99    82.2    32.1     6.8    3.98    1015    73.6     7.7    41-1     113    1.45       3    0.83     8.0
63125             27.82   23.10    83.0    32.2     6.8    3.80    1501    71.5     7.5    41-2     116    1.49       3    0.83     7.1
63126             27.87   22.96    82.4    32.1     6.8    3.80    1647    73.4     7.8    41-1     110    1.48       3    0.83     7.8
63127             28.27   23.23    82.2    32.3     6.8    4.02    1328    73.0     7.4    41-2     100    1.16       3    0.83     7.9
63128             27.76   23.01    82.9    32.3     6.8    3.88    1333    71.6     8.1    41-4     112    1.50       3    0.82     7.3
63129             27.81   23.81    85.6    30.4     6.8    3.82    1528    68.7     7.7    51-3      96    2.03       4    0.82     3.9
63130             27.91   22.82    81.8    32.5     6.9    3.86    1342    67.9     7.1    51-2     118    1.82       4    0.82     8.5
63131             28.56   23.61    82.7    31.0     6.8    3.85    1719    70.0     7.9    51-3     118    1.58       4    0.81     7.1
63132             26.73   21.48    80.4    28.8     6.7    3.85     945    68.6     7.9    51-3     110    1.58       4    0.80    10.8
63133             28.92   23.82    82.4    31.3     6.8    3.80    1078    69.6     8.2    41-4     112    1.32       3    0.82     7.3
63133             29.42   24.89    84.6    27.7     6.7    3.82    1362    69.1     8.1    51-3     118    1.76       4    0.80     4.3
63134             27.25   22.13    81.2    30.5     6.8    3.90    1449    68.0     8.7    52-1     131    1.90       4    0.81     9.6
63136             28.14   23.03    81.8    31.3     6.8    3.83    1344    68.3     7.6    51-3     150    2.22       4    0.81     8.4
63137             29.18   23.95    82.1    31.7     6.8    3.87    1829    67.2     7.2    51-4     135    1.93       4    0.81     7.5
63138             28.14   22.98    81.7    32.0     6.8    3.84    1325    68.8     8.2    51-3     122    1.93       4    0.81     8.5
63139             27.47   21.91    79.8    30.2     6.7    3.98    1555    69.0     8.0    51-3     128    1.90       4    0.80    11.2
63140             27.83   22.80    81.9    27.5     6.7    3.86    1145    66.5     7.8    51-4     134    2.27       4    0.80     8.4
63141             28.24   23.31    82.5    32.0     6.9    3.83    1314    67.2     7.1    51-2     126    1.54       4    0.81     7.5
63142             27.87   22.34    80.2    29.1     6.8    4.15    1423    71.5     8.1    41-4     116    1.56       3    0.82    10.5
63143             26.98   21.86    81.0    31.9     6.8    3.97    1218    70.6     7.4    51-1     114    1.44       4    0.82    10.0
63144             27.23   22.77    83.6    29.2     6.7    3.80    1571    70.3     7.1    51-1     110    1.82       4    0.80     6.7
63145             27.99   22.78    81.4    30.8     6.8    3.80    1356    71.1     7.7    41-4     115    1.72       3    0.81     9.0
63146             27.75   22.44    80.9    30.2     6.8    3.87    1617    71.2     7.3    51-1     140    1.95       4    0.81     9.7
63147             27.45   22.43    81.7    31.5     6.8    4.14    1597    71.3     7.4    41-2     116    1.45       3    0.83     8.9
63148             27.11   21.84    80.6    28.9     6.7    4.60    1019    68.5     7.7    51-3     131    1.42       4    0.84    10.4
63149             26.98   21.95    81.4    27.4     6.7    4.70    1327    67.4     7.3    51-4     116    1.10       4    0.83     9.5
63150             26.38   21.46    81.4    29.4     6.7    4.11     782    67.7     7.0    51-2     102    1.18       4    0.82     9.8
---------------------------------------------------------------------------------------------------------------------------------------
Min:              25.77   19.46    76.6    25.5     6.5    3.66     538    60.1     7.0              93    0.66                        
Max:              29.56   24.89    85.6    32.9     6.9    4.94    1829    73.6    11.1             178    2.27                        
Avg:              27.34   22.16    81.0    28.8     6.7    4.31    1280    66.3     8.6    52-1     131    1.46       8    0.82     9.7
S.D:               1.06    1.13     1.6     3.0     0.1    0.46     268     3.3     0.8              18    0.29                        
CV%:               3.88    5.10     2.0    10.4     1.5   11.19      21     5.0     9.3              14   19.86                        
---------------------------------------------------------------------------------------------------------------------------------------
LS: Single Comb Reading
No. of Tests: 0100
